user_id,display_name,email,home_city_id,home_currency,locale,budget_band,travel_style,traveller_type,segment,date_of_signup,loyalty_tier,status,created_at,updated_at
usr_6afe5712,Diya Novak,diya.novak0@example.invalid,cty_d4f5e3a5,INR,en-IN,luxury,adventure,friends,cold_start,2026-08-09,silver,active,2026-08-09T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_05c1346c,Rahul Tanaka,rahul.tanaka1@example.invalid,cty_c43cfa94,INR,bn,value,slow,friends,cold_start,2026-08-05,silver,active,2026-08-05T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_c75aefa2,Ravi Das,ravi.das2@example.invalid,cty_36afaa5c,IDR,id,value,wellness,friends,light,2026-03-13,silver,active,2026-03-13T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_f855344d,Sneha Pillai,sneha.pillai3@example.invalid,cty_9327d518,INR,hi,premium,comfort,solo,heavy,2023-10-12,none,active,2023-10-12T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_8cb2d440,Nikhil Bose,nikhil.bose4@example.invalid,cty_6320eea9,QAR,ar,mid,slow,solo,cold_start,2026-08-17,silver,active,2026-08-17T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_c961aa19,Bhavna Menon,bhavna.menon5@example.invalid,cty_5698a7ab,INR,en-IN,premium,comfort,couple,light,2023-03-22,gold,inactive,2023-03-22T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_580a5fe8,Ishaan Wong,ishaan.wong6@example.invalid,cty_d4f5e3a5,INR,en-IN,value,luxury,family,cold_start,2026-07-20,gold,active,2026-07-20T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_e960bbc7,Imran Nair,imran.nair7@example.invalid,cty_95e7c8ca,INR,mr,premium,budget,family,cold_start,2026-07-15,silver,active,2026-07-15T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_aa216995,Ananya Das,ananya.das8@example.invalid,cty_9327d518,INR,en-IN,mid,adventure,family,light,2026-02-11,none,active,2026-02-11T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_14ca6dc1,Elena Novak,elena.novak9@example.invalid,cty_009c9fd2,LKR,en-IN,mid,budget,senior,cold_start,2026-08-16,gold,active,2026-08-16T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_b3f2baa1,Ravi Singh,ravi.singh10@example.invalid,cty_67ee7f6f,INR,ml,mid,adventure,family,cold_start,2026-08-11,gold,active,2026-08-11T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_b34877aa,Kavya Kulkarni,kavya.kulkarni11@example.invalid,cty_17b8ef2f,INR,kn,shoestring,cultural,solo,light,2023-01-02,none,active,2023-01-02T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_e1cd7b02,Riya Pillai,riya.pillai12@example.invalid,cty_d35a9652,INR,en-IN,mid,adventure,backpacker,cold_start,2026-07-19,none,active,2026-07-19T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_dace411a,Pooja Rossi,pooja.rossi13@example.invalid,cty_c9f34ba7,MYR,en-IN,mid,wellness,friends,light,2023-07-14,gold,active,2023-07-14T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_27018453,Rohan Nair,rohan.nair14@example.invalid,cty_905fd8a1,SGD,zh,premium,cultural,family,heavy,2024-08-17,,active,2024-08-17T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_3f73d954,Sofia Gupta,sofia.gupta15@example.invalid,cty_541018a9,INR,ml,mid,comfort,backpacker,cold_start,2026-07-11,none,active,2026-07-11T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_8e89346c,Kavya Novak,kavya.novak16@example.invalid,cty_d35a9652,INR,hi,mid,wellness,backpacker,heavy,2023-09-09,,active,2023-09-09T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_759b4145,Pooja Bose,pooja.bose17@example.invalid,cty_17b8ef2f,INR,en-IN,mid,adventure,family,light,2024-01-29,none,active,2024-01-29T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_a7881014,Yuki Novak,yuki.novak18@example.invalid,cty_a50bc5dd,LKR,en-IN,value,comfort,business,cold_start,2026-08-11,gold,active,2026-08-11T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_1981c2a0,Siddharth Kim,siddharth.kim19@example.invalid,cty_0b92e2e7,INR,en-IN,premium,wellness,senior,cold_start,2026-07-17,gold,active,2026-07-17T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_98a69060,Shreya Bhat,shreya.bhat20@example.invalid,cty_aa759717,INR,en-IN,premium,wellness,family,heavy,2024-10-14,,active,2024-10-14T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_4405382c,Ananya Wong,ananya.wong21@example.invalid,cty_1ced6ede,AED,ar,mid,slow,solo,heavy,2025-08-22,gold,active,2025-08-22T09:00:00+05:30,2026-08-18T10:00:00+05:30
usr_acb4c4ba,Nikhil Wong,nikhil.wong22@example.invalid,cty_7cb0b529,INR,te,premium,adventure,solo,cold_start,2026-07-11,none,active,2026-07-11T09:00:00+05:30,2026-08-18T10:00:00+05:30
